N,P,K,ph,crop
116,25,50,6,muskmelon
100,17,48,6,muskmelon
110,25,54,6,muskmelon
104,25,51,6,muskmelon
107,11,54,6,muskmelon
98,26,52,6,muskmelon
88,17,52,7,muskmelon
87,25,46,6,muskmelon
120,8,46,7,muskmelon
95,13,46,6,muskmelon
108,22,47,6,muskmelon
82,13,52,6,muskmelon
120,23,55,7,muskmelon
110,22,47,6,muskmelon
95,23,45,6,muskmelon
106,10,49,6,muskmelon
99,12,52,6,muskmelon
106,20,51,6,muskmelon
83,11,53,6,muskmelon
117,19,55,6,muskmelon
98,26,49,6,muskmelon
113,20,48,6,muskmelon
101,17,47,6,muskmelon
98,7,45,6,muskmelon
93,22,48,7,muskmelon
95,21,47,6,muskmelon
109,12,48,7,muskmelon
118,12,47,6,muskmelon
100,14,49,6,muskmelon
89,9,47,7,muskmelon
95,16,46,7,muskmelon
95,7,45,6,muskmelon
87,6,45,6,muskmelon
93,20,50,6,muskmelon
84,29,49,6,muskmelon
111,5,47,6,muskmelon
111,5,52,6,muskmelon
111,15,54,6,muskmelon
89,11,47,6,muskmelon
110,15,48,6,muskmelon
95,30,52,7,muskmelon
115,12,52,7,muskmelon
120,25,50,6,muskmelon
102,11,45,6,muskmelon
94,5,55,6,muskmelon
84,18,46,7,muskmelon
107,22,54,7,muskmelon
80,18,52,6,muskmelon
86,18,45,7,muskmelon
113,28,48,6,muskmelon
115,18,53,6,muskmelon
82,20,54,7,muskmelon
98,22,47,6,muskmelon
117,25,54,6,muskmelon
83,15,49,6,muskmelon
120,16,51,7,muskmelon
111,5,50,6,muskmelon
85,21,47,6,muskmelon
90,23,54,6,muskmelon
99,29,55,7,muskmelon
102,11,47,7,muskmelon
80,18,51,7,muskmelon
87,21,52,6,muskmelon
114,8,52,6,muskmelon
99,6,46,6,muskmelon
89,25,50,6,muskmelon
96,13,55,7,muskmelon
82,26,47,7,muskmelon
106,21,52,6,muskmelon
90,15,52,6,muskmelon
106,16,54,7,muskmelon
24,128,196,6,apple
7,144,197,6,apple
14,128,205,6,apple
8,120,201,6,apple
20,129,201,6,apple
32,137,204,6,apple
27,139,205,6,apple
0,123,205,6,apple
22,144,196,6,apple
1,124,199,6,apple
30,122,197,6,apple
29,121,196,6,apple
13,126,204,6,apple
9,139,199,6,apple
0,133,200,6,apple
30,143,199,6,apple
36,140,198,6,apple
37,137,199,6,apple
33,121,203,6,apple
7,144,195,6,apple
35,128,205,6,apple
29,128,198,6,apple
2,143,196,6,apple
34,140,198,6,apple
29,144,204,6,apple
32,141,203,6,apple
13,144,197,6,apple
25,143,198,6,apple
9,137,200,6,apple
6,144,198,6,apple
37,126,196,6,apple
2,120,203,6,apple
11,143,197,6,apple
10,141,201,6,apple
24,142,202,6,apple
23,138,195,6,apple
18,125,204,6,apple
13,121,196,6,apple
26,122,202,6,apple
28,123,202,6,apple
26,121,201,6,apple
21,137,196,6,apple
21,135,198,6,apple
5,144,205,6,apple
2,123,205,6,apple
15,133,199,6,apple
31,130,198,6,apple
25,143,200,6,apple
16,143,204,6,apple
19,122,202,6,apple
10,125,196,6,apple
20,139,202,6,apple
28,123,198,6,apple
28,136,200,6,apple
2,131,199,6,apple
2,140,197,6,apple
27,138,201,6,apple
30,127,204,6,apple
32,145,203,6,apple
29,139,205,6,apple
26,126,195,6,apple
40,136,202,6,apple
6,124,200,6,apple
35,138,200,6,apple
17,136,196,6,apple
33,134,205,6,apple
16,143,197,6,apple
27,120,200,6,apple
29,145,205,6,apple
3,141,197,6,apple
15,123,204,6,apple
5,136,195,6,apple
10,136,204,6,apple
7,141,195,6,apple
2,129,201,6,apple
29,138,197,6,apple
30,137,200,6,apple
29,132,204,6,apple
14,139,197,6,apple
18,125,203,6,apple
33,143,204,6,apple
40,144,196,6,apple
9,143,197,6,apple
38,135,203,6,apple
28,130,196,6,apple
35,142,203,6,apple
12,129,205,6,apple
1,135,203,6,apple
0,145,205,6,apple
31,121,201,6,apple
35,131,203,6,apple
29,140,195,6,apple
33,138,198,6,apple
14,140,197,6,apple
35,145,195,6,apple
40,120,197,6,apple
25,132,198,6,apple
31,137,196,6,apple
36,144,196,6,apple
10,140,197,6,apple
22,30,12,6,orange
37,6,13,8,orange
27,13,6,7,orange
7,16,9,8,orange
20,7,9,7,orange
26,27,10,6,orange
5,23,15,7,orange
0,18,14,7,orange
39,24,14,7,orange
13,23,6,7,orange
21,17,15,7,orange
33,12,8,7,orange
6,9,12,7,orange
19,7,10,6,orange
24,18,6,6,orange
9,11,8,7,orange
31,8,7,7,orange
22,17,5,7,orange
13,5,8,7,orange
16,8,9,8,orange
4,13,6,8,orange
0,25,14,6,orange
8,7,10,7,orange
4,23,5,7,orange
33,14,8,8,orange
30,7,15,8,orange
21,29,12,6,orange
11,14,5,7,orange
9,8,15,8,orange
5,18,14,7,orange
29,25,14,8,orange
33,12,15,6,orange
8,16,6,7,orange
15,14,8,6,orange
16,7,8,6,orange
0,12,7,7,orange
5,25,6,6,orange
6,8,11,7,orange
10,5,5,8,orange
1,17,6,7,orange
1,30,10,7,orange
0,23,15,8,orange
24,27,9,6,orange
36,11,13,7,orange
40,21,8,7,orange
40,22,6,6,orange
32,18,13,6,orange
9,10,10,6,orange
13,16,8,7,orange
15,9,11,8,orange
29,11,5,8,orange
1,15,9,8,orange
18,5,11,6,orange
14,22,9,7,orange
33,15,7,8,orange
4,6,7,7,orange
17,16,14,7,orange
12,20,10,7,orange
34,29,8,6,orange
39,28,10,7,orange
31,25,12,7,orange
12,6,8,6,orange
12,29,13,8,orange
26,11,11,8,orange
19,24,15,7,orange
39,21,9,6,orange
16,29,13,6,orange
36,29,13,8,orange
37,23,12,6,orange
39,9,15,8,orange
31,5,14,7,orange
18,12,8,6,orange
20,20,10,7,orange
5,8,5,7,orange
20,8,12,7,orange
25,21,11,6,orange
14,19,14,7,orange
37,18,12,7,orange
26,15,6,7,orange
13,22,5,8,orange
32,25,9,8,orange
19,7,9,7,orange
28,7,9,7,orange
24,30,11,7,orange
7,17,10,6,orange
18,23,8,6,orange
7,20,12,6,orange
20,23,11,6,orange
18,14,11,7,orange
34,11,10,7,orange
20,29,10,7,orange
37,24,13,8,orange
12,8,10,8,orange
34,10,14,7,orange
6,13,9,8,orange
27,30,5,8,orange
13,8,12,7,orange
6,7,7,7,orange
40,17,15,8,orange
31,26,9,8,orange
61,68,50,7,papaya
58,46,45,7,papaya
45,47,55,7,papaya
39,65,53,7,papaya
31,68,45,7,papaya
70,68,45,7,papaya
68,62,50,7,papaya
34,65,47,7,papaya
38,68,54,7,papaya
69,64,47,7,papaya
58,51,47,7,papaya
59,47,53,7,papaya
44,64,54,7,papaya
56,57,48,7,papaya
69,60,54,7,papaya
56,58,49,7,papaya
49,55,53,7,papaya
38,51,52,7,papaya
54,65,47,7,papaya
57,57,51,7,papaya
39,52,53,7,papaya
58,67,45,7,papaya
61,64,52,7,papaya
34,62,55,7,papaya
31,48,45,7,papaya
47,46,52,7,papaya
32,68,52,7,papaya
36,59,46,7,papaya
61,51,51,7,papaya
70,54,46,7,papaya
44,56,49,7,papaya
34,68,51,7,papaya
50,59,47,7,papaya
39,70,52,7,papaya
34,61,49,7,papaya
44,60,55,7,papaya
31,62,52,7,papaya
65,62,51,7,papaya
44,57,53,7,papaya
50,47,48,7,papaya
43,50,48,7,papaya
60,46,53,7,papaya
70,68,55,7,papaya
59,62,52,7,papaya
60,58,51,7,papaya
42,60,47,7,papaya
35,66,47,7,papaya
34,65,48,7,papaya
36,54,46,7,papaya
39,64,52,7,papaya
37,52,47,7,papaya
33,47,46,7,papaya
34,48,48,7,papaya
49,54,50,7,papaya
40,65,49,7,papaya
68,52,49,7,papaya
50,46,52,7,papaya
65,63,50,7,papaya
40,49,47,7,papaya
42,53,48,7,papaya
49,55,51,7,papaya
59,62,49,7,papaya
63,58,47,7,papaya
70,65,52,7,papaya
63,50,52,7,papaya
40,64,47,7,papaya
63,58,50,7,papaya
45,58,49,7,papaya
66,69,47,7,papaya
54,67,52,7,papaya
69,67,52,7,papaya
67,68,49,7,papaya
45,57,47,7,papaya
56,50,52,7,papaya
70,50,53,7,papaya
44,47,45,7,papaya
50,60,47,7,papaya
52,51,53,7,papaya
35,68,45,7,papaya
68,69,52,7,papaya
32,55,52,7,papaya
32,55,51,7,papaya
48,62,47,7,papaya
39,69,53,7,papaya
49,61,45,7,papaya
48,57,54,7,papaya
69,66,49,7,papaya
53,55,55,7,papaya
38,61,52,7,papaya
57,64,55,7,papaya
51,57,55,7,papaya
56,65,45,7,papaya
54,66,52,7,papaya
58,55,47,7,papaya
68,70,54,7,papaya
42,59,55,7,papaya
43,64,47,7,papaya
35,67,49,7,papaya
56,59,55,7,papaya
39,64,53,7,papaya
18,30,29,6,coconut
37,23,28,6,coconut
13,28,33,6,coconut
2,21,35,6,coconut
10,18,35,6,coconut
7,11,32,6,coconut
39,5,31,6,coconut
34,6,27,6,coconut
31,30,29,6,coconut
25,7,35,6,coconut
16,18,26,6,coconut
26,10,33,6,coconut
27,8,32,6,coconut
37,18,30,6,coconut
19,15,34,6,coconut
0,19,33,6,coconut
31,20,26,6,coconut
9,17,32,6,coconut
22,11,29,6,coconut
31,6,26,6,coconut
34,6,30,6,coconut
24,6,32,6,coconut
1,8,26,6,coconut
31,13,33,6,coconut
10,9,28,6,coconut
36,27,26,6,coconut
38,24,33,6,coconut
11,6,25,6,coconut
16,14,30,6,coconut
33,14,35,6,coconut
16,6,29,6,coconut
32,11,31,6,coconut
38,14,30,6,coconut
8,6,33,6,coconut
23,6,33,6,coconut
29,25,35,6,coconut
24,14,33,6,coconut
32,12,30,6,coconut
30,25,31,6,coconut
14,21,35,6,coconut
27,22,29,6,coconut
40,5,29,6,coconut
17,11,32,6,coconut
30,30,35,6,coconut
28,10,30,6,coconut
39,7,29,6,coconut
32,20,35,6,coconut
7,15,32,6,coconut
29,17,29,6,coconut
34,15,34,6,coconut
14,23,25,6,coconut
18,19,29,6,coconut
7,21,35,6,coconut
24,27,34,6,coconut
39,29,29,6,coconut
29,8,28,6,coconut
10,24,27,6,coconut
0,29,32,6,coconut
32,11,31,6,coconut
37,10,32,6,coconut
20,29,27,6,coconut
31,29,35,6,coconut
17,30,27,6,coconut
1,12,30,6,coconut
6,13,29,6,coconut
15,28,32,6,coconut
27,24,29,6,coconut
3,23,30,6,coconut
8,26,26,6,coconut
20,28,26,6,coconut
26,18,27,6,coconut
1,6,35,6,coconut
27,30,31,6,coconut
23,7,34,6,coconut
0,26,31,6,coconut
38,6,25,6,coconut
25,12,26,6,coconut
40,5,32,6,coconut
0,19,31,6,coconut
26,9,32,6,coconut
35,30,34,6,coconut
19,30,30,6,coconut
31,13,33,6,coconut
17,29,26,6,coconut
2,30,30,6,coconut
30,13,25,6,coconut
8,15,33,6,coconut
18,12,35,6,coconut
8,28,30,6,coconut
40,22,29,6,coconut
27,10,33,6,coconut
21,20,31,6,coconut
3,9,35,6,coconut
22,16,27,6,coconut
27,8,30,6,coconut
22,8,33,6,coconut
28,27,32,6,coconut
23,21,26,6,coconut
37,5,34,6,coconut
19,26,29,6,coconut
133,47,24,7,cotton
136,36,20,7,cotton
104,47,18,8,cotton
133,47,23,7,cotton
126,38,23,6,cotton
126,50,19,7,cotton
113,41,20,7,cotton
121,45,22,6,cotton
121,47,16,8,cotton
129,60,22,6,cotton
107,45,25,7,cotton
122,59,18,6,cotton
140,38,15,6,cotton
102,49,21,6,cotton
111,40,25,6,cotton
131,35,18,7,cotton
135,43,16,7,cotton
100,46,18,6,cotton
123,39,24,7,cotton
117,56,15,7,cotton
121,36,24,7,cotton
101,58,18,7,cotton
107,42,24,6,cotton
100,41,22,7,cotton
125,39,21,8,cotton
105,60,23,6,cotton
102,46,19,7,cotton
131,49,22,7,cotton
139,35,15,6,cotton
108,36,19,7,cotton
118,45,23,8,cotton
107,51,22,6,cotton
125,60,17,7,cotton
113,37,20,7,cotton
131,52,16,6,cotton
115,48,16,7,cotton
113,38,25,7,cotton
111,41,18,6,cotton
111,53,19,6,cotton
122,48,16,6,cotton
108,46,17,7,cotton
132,41,22,8,cotton
103,42,17,7,cotton
133,50,25,8,cotton
127,37,18,7,cotton
110,39,25,7,cotton
131,38,19,7,cotton
108,38,24,7,cotton
122,40,17,7,cotton
111,50,15,8,cotton
140,40,17,6,cotton
100,40,20,7,cotton
123,50,16,6,cotton
107,36,21,6,cotton
118,50,19,6,cotton
103,51,20,7,cotton
133,57,19,8,cotton
129,47,20,6,cotton
116,52,19,6,cotton
114,40,23,7,cotton
131,60,17,7,cotton
107,43,18,7,cotton
123,44,21,8,cotton
112,49,25,6,cotton
119,44,15,7,cotton
130,59,19,7,cotton
127,53,24,6,cotton
134,52,18,8,cotton
109,36,18,8,cotton
100,48,17,8,cotton
132,52,19,6,cotton
102,37,25,6,cotton
111,39,22,6,cotton
117,51,15,6,cotton
136,36,24,8,cotton
134,56,18,7,cotton
112,54,15,6,cotton
105,56,15,7,cotton
140,45,15,6,cotton
126,46,25,7,cotton
106,49,24,7,cotton
121,53,19,8,cotton
108,60,17,7,cotton
116,56,17,8,cotton
100,52,19,8,cotton
129,43,16,7,cotton
118,44,23,7,cotton
117,43,25,8,cotton
126,37,21,7,cotton
120,48,16,7,cotton
102,45,16,7,cotton
131,56,20,8,cotton
114,40,17,6,cotton
101,37,18,8,cotton
106,46,20,6,cotton
113,38,20,6,cotton
102,53,21,7,cotton
110,39,18,8,cotton
107,58,15,8,cotton
120,60,15,7,cotton
89,47,38,6,jute
60,37,39,6,jute
63,41,45,7,jute
86,40,39,6,jute
96,41,40,6,jute
100,35,36,6,jute
63,37,43,7,jute
70,43,40,6,jute
67,55,44,7,jute
74,40,40,6,jute
89,53,44,7,jute
74,46,45,6,jute
89,41,38,6,jute
60,55,40,7,jute
67,43,38,7,jute
70,38,35,7,jute
74,49,38,7,jute
90,40,39,7,jute
82,35,44,6,jute
73,45,37,7,jute
85,53,38,7,jute
81,56,36,7,jute
84,55,38,7,jute
80,45,42,7,jute
76,54,45,6,jute
76,56,39,7,jute
81,40,45,6,jute
76,44,45,7,jute
69,47,40,6,jute
82,40,45,7,jute
69,57,35,6,jute
81,36,38,6,jute
67,60,38,7,jute
72,51,40,7,jute
65,39,45,7,jute
78,50,43,6,jute
77,52,41,6,jute
89,52,42,6,jute
62,49,37,7,jute
90,48,45,7,jute
66,47,36,7,jute
80,52,39,7,jute
89,52,45,7,jute
77,51,44,7,jute
94,37,41,6,jute
75,41,35,7,jute
60,55,36,7,jute
62,56,35,6,jute
84,40,42,7,jute
100,56,40,7,jute
75,56,44,6,jute
78,46,42,7,jute
82,48,36,6,jute
100,58,41,7,jute
88,50,40,7,jute
67,41,40,7,jute
72,42,43,6,jute
89,40,43,7,jute
89,57,43,7,jute
61,41,44,7,jute
79,45,43,7,jute
84,40,43,7,jute
98,43,35,7,jute
75,36,44,7,jute
89,58,35,6,jute
91,41,37,6,jute
77,48,36,7,jute
66,58,35,7,jute
62,59,41,7,jute
82,35,35,7,jute
61,41,35,7,jute
99,57,38,6,jute
70,42,43,7,jute
90,59,35,7,jute
73,43,42,6,jute
67,46,44,7,jute
84,37,42,7,jute
72,41,36,6,jute
71,56,37,6,jute
64,53,38,7,jute
65,54,39,7,jute
60,58,37,6,jute
86,39,43,6,jute
90,50,44,6,jute
91,38,36,7,jute
87,48,38,7,jute
72,41,36,6,jute
71,54,35,7,jute
82,46,41,7,jute
71,52,43,7,jute
80,43,43,6,jute
77,55,43,7,jute
95,57,41,6,jute
63,47,35,7,jute
93,43,38,7,jute
87,44,43,7,jute
88,52,39,7,jute
90,39,37,7,jute
90,39,43,7,jute
84,38,43,7,jute
91,21,26,7,coffee
107,21,26,7,coffee
83,38,35,7,coffee
108,24,31,6,coffee
116,28,34,6,coffee
116,23,25,7,coffee
109,31,27,7,coffee
89,25,34,7,coffee
118,18,32,6,coffee
111,32,34,6,coffee
84,36,28,6,coffee
85,33,25,7,coffee
99,15,27,7,coffee
81,30,31,7,coffee
95,39,29,7,coffee
81,34,30,7,coffee
80,15,28,7,coffee
104,20,26,7,coffee
109,29,28,7,coffee
100,32,26,6,coffee
100,24,28,7,coffee
83,21,28,7,coffee
120,23,28,7,coffee
104,26,30,6,coffee
108,33,31,7,coffee
91,25,26,7,coffee
86,26,27,6,coffee
98,18,27,7,coffee
111,27,31,6,coffee
84,39,35,7,coffee
98,27,27,7,coffee
118,21,34,7,coffee
103,27,31,7,coffee
82,24,33,7,coffee
86,31,35,6,coffee
88,35,35,7,coffee
84,27,29,7,coffee
120,40,33,7,coffee
106,40,30,7,coffee
113,21,33,7,coffee
117,34,25,7,coffee
80,30,25,7,coffee
88,21,27,7,coffee
113,33,34,7,coffee
87,23,28,7,coffee
113,15,29,7,coffee
98,29,30,6,coffee
97,29,27,7,coffee
85,35,32,7,coffee
82,29,35,6,coffee
103,33,25,7,coffee
112,17,28,7,coffee
99,19,33,6,coffee
120,20,34,7,coffee
114,27,28,7,coffee
100,40,35,7,coffee
108,35,25,7,coffee
115,31,30,7,coffee
87,28,30,7,coffee
82,24,26,6,coffee
94,26,27,7,coffee
87,28,35,7,coffee
118,40,35,7,coffee
87,38,29,7,coffee
92,40,30,6,coffee
97,22,26,6,coffee
99,40,32,7,coffee
89,28,33,7,coffee
112,39,29,7,coffee
111,28,26,7,coffee
114,20,26,7,coffee
117,26,30,7,coffee
111,29,31,6,coffee
119,30,28,7,coffee
116,40,33,7,coffee
95,37,35,6,coffee
86,40,33,7,coffee
117,37,32,7,coffee
105,18,35,7,coffee
109,23,25,7,coffee
80,18,31,7,coffee
101,31,26,7,coffee
103,33,33,7,coffee
93,26,27,7,coffee
104,35,28,7,coffee
116,36,25,6,coffee
107,38,29,6,coffee
101,33,33,7,coffee
107,31,31,7,coffee
99,16,30,6,coffee
103,40,30,6,coffee
118,31,34,6,coffee
106,21,35,7,coffee
116,38,34,6,coffee
97,35,26,6,coffee
107,34,32,7,coffee
99,15,27,6,coffee
118,33,30,6,coffee
117,32,34,7,coffee
104,18,30,7,coffee
